x0000,y0000,x0001,y0001
89.2,56.63, , ,
89.3,56.75, , ,
89.4,56.75, , ,
89.5,56.75, , ,
89.6,56.75, , ,
89.7,56.75, , ,
89.8,56.75, , ,
89.9,56.81, , ,
90,56.81, , ,
90.1,56.81, , ,
90.2,56.81, , ,
90.3,56.81, , ,
90.4,56.81, , ,
90.5,56.88, , ,
90.6,56.88, , ,
90.7,56.88, , ,
90.8,56.88, , ,
90.9,56.88, , ,
91,56.88, , ,
91.1,56.94, , ,
91.2,56.94, , ,
91.3,56.94, , ,
91.4,56.94, , ,
91.5,56.94, , ,
91.6,56.94, , ,
91.7,57.06, , ,
91.8,57.06, , ,
91.9,57.06, , ,
92,57.06, , ,
92.1,57.06, , ,
92.2,57.06, , ,
92.3,57.13, , ,
92.4,57.13, , ,
92.5,57.13, , ,
92.6,57.13, , ,
92.7,57.13, , ,
92.8,57.13, , ,
92.9,57.19, , ,
93,57.19, , ,
93.1,57.19, , ,
93.2,57.19, , ,
93.3,57.19, , ,
93.4,57.19, , ,
93.5,57.25, , ,
93.6,57.25, , ,
93.7,57.25, , ,
93.8,57.25, , ,
93.9,57.25, , ,
94,57.25, , ,
94.1,57.31, , ,
94.2,57.31, , ,
94.3,57.31, , ,
94.4,57.31, , ,
94.5,57.31, , ,
94.6,57.31, , ,
94.7,57.44, , ,
94.8,57.44, , ,
94.9,57.44, , ,
95,57.44, , ,
95.1,57.44, , ,
95.2,57.44, , ,
95.3,57.5, , ,
95.4,57.5, , ,
95.5,57.5, , ,
95.6,57.5, , ,
95.7,57.5, , ,
95.8,57.5, , ,
95.9,57.56, , ,
96,57.56, , ,
96.1,57.56, , ,
96.2,57.56, , ,
96.3,57.56, , ,
96.4,57.56, , ,
96.5,57.69, , ,
96.6,57.69, , ,
96.7,57.69, , ,
96.8,57.69, , ,
96.9,57.69, , ,
97,57.69, , ,
97.1,57.75, , ,
97.2,57.75, , ,
97.3,57.75, , ,
97.4,57.75, , ,
97.5,57.75, , ,
97.6,57.75, , ,
97.7,57.81, , ,
97.8,57.81, , ,
97.9,57.81, , ,
98,57.81, , ,
98.1,57.81, , ,
98.2,57.81, , ,
98.3,57.88, , ,
98.4,57.88, , ,
98.5,57.88, , ,
98.6,57.88, , ,
98.7,57.88, , ,
98.8,57.88, , ,
98.9,57.94, , ,
99,57.94, , ,
99.1,57.94, , ,
99.2,57.94, , ,
99.3,57.94, , ,
99.4,57.94, , ,
99.5,58, , ,
99.6,58, , ,
99.7,58, , ,
99.8,58, , ,
99.9,58, , ,
100,58, , ,
100.1,58.13, , ,
100.2,58.13, , ,
100.3,58.13, , ,
100.4,58.13, , ,
100.5,58.13, , ,
100.6,58.13, , ,
100.7,58.19, , ,
100.8,58.19, , ,
100.9,58.19, , ,
101,58.19, , ,
101.1,58.19, , ,
101.2,58.19, , ,
101.3,58.25, , ,
101.4,58.25, , ,
101.5,58.25, , ,
101.6,58.25, , ,
101.7,58.25, , ,
101.8,58.25, , ,
101.9,58.31, , ,
102,58.31, , ,
102.1,58.31, , ,
102.2,58.31, , ,
102.3,58.31, , ,
102.4,58.31, , ,
102.5,58.38, , ,
102.6,58.38, , ,
102.7,58.38, , ,
102.8,58.38, , ,
102.9,58.38, , ,
103,58.38, , ,
103.1,58.44, , ,
103.2,58.44, , ,
103.3,58.44, , ,
103.4,58.44, , ,
103.5,58.44, , ,
103.6,58.44, , ,
103.7,58.56, , ,
103.8,58.56, , ,
103.9,58.56, , ,
104,58.56, , ,
104.1,58.56, , ,
104.2,58.56, , ,
104.3,58.63, , ,
104.4,58.63, , ,
104.5,58.63, , ,
104.6,58.63, , ,
104.7,58.63, , ,
104.8,58.63, , ,
104.9,58.69, , ,
105,58.69, , ,
105.1,58.69, , ,
105.2,58.69, , ,
105.3,58.69, , ,
105.4,58.69, , ,
105.5,58.75, , ,
105.6,58.75, , ,
105.7,58.75, , ,
105.8,58.75, , ,
105.9,58.75, , ,
106,58.75, , ,
